Day,Block,Surgery,Start,Duration,Finish,Specialty
Monday,0,0,0,0,0,GASTRO
Monday,0,1,138,0,138,GASTRO
Monday,0,2,277,0,277,GASTRO
Monday,1,3,0,0,0,CARD
Monday,1,4,101,0,101,CARD
Monday,1,5,202,0,202,CARD
Monday,1,6,303,0,303,CARD
Monday,3,7,0,0,0,GYN
Monday,3,8,82,0,82,GYN
Monday,3,9,165,0,165,GYN
Monday,3,10,247,0,247,GYN
Monday,3,11,329,0,329,GYN
Monday,4,12,0,0,0,URO
Monday,4,13,72,0,72,URO
Monday,4,14,144,0,144,URO
Monday,4,15,216,0,216,URO
Monday,4,16,288,0,288,URO
Monday,4,17,360,0,360,URO
Monday,5,18,0,0,0,CARD
Monday,5,19,101,0,101,CARD
Monday,5,20,202,0,202,CARD
Monday,5,21,303,0,303,CARD
Tuesday,7,22,0,0,0,GASTRO
Tuesday,7,23,138,0,138,GASTRO
Tuesday,7,24,277,0,277,GASTRO
Tuesday,8,25,0,0,0,ORTH
Tuesday,8,26,146,0,146,ORTH
Tuesday,8,27,292,0,292,ORTH
Tuesday,9,28,0,0,0,ORTH
Tuesday,9,29,146,0,146,ORTH
Tuesday,9,30,292,0,292,ORTH
Tuesday,11,31,0,0,0,GYN
Tuesday,11,32,82,0,82,GYN
Tuesday,11,33,165,0,165,GYN
Tuesday,11,34,247,0,247,GYN
Tuesday,11,35,329,0,329,GYN
Wednesday,13,36,0,0,0,GASTRO
Wednesday,15,37,0,0,0,CARD
Wednesday,15,38,101,0,101,CARD
Wednesday,16,39,0,0,0,MED
Wednesday,16,40,80,0,80,MED
Wednesday,16,41,161,0,161,MED
Wednesday,20,42,0,0,0,ORTH
Wednesday,20,43,146,0,146,ORTH
Wednesday,20,44,292,0,292,ORTH
Thursday,21,45,0,0,0,GASTRO
Thursday,21,46,138,0,138,GASTRO
Thursday,21,47,277,0,277,GASTRO
Thursday,24,48,0,0,0,GYN
Thursday,24,49,82,0,82,GYN
Thursday,24,50,165,0,165,GYN
Thursday,24,51,247,0,247,GYN
Thursday,24,52,329,0,329,GYN
Friday,26,53,0,0,0,GASTRO
Friday,26,54,138,0,138,GASTRO
Friday,26,55,277,0,277,GASTRO
Friday,28,56,0,0,0,ORTH
Friday,28,57,146,0,146,ORTH
Friday,28,58,292,0,292,ORTH
Friday,29,59,0,0,0,GYN
Friday,29,60,82,0,82,GYN
Friday,29,61,165,0,165,GYN
Friday,29,62,247,0,247,GYN
Friday,29,63,329,0,329,GYN
Friday,30,64,0,0,0,URO
Friday,30,65,72,0,72,URO
Friday,30,66,144,0,144,URO
Friday,30,67,216,0,216,URO
Friday,30,68,288,0,288,URO
Friday,30,69,360,0,360,URO
