Day,Block,Surgery,Start,Duration,Finish,Specialty
Monday,0,0,0,0,0,GASTRO
Monday,0,1,138,0,138,GASTRO
Monday,0,2,277,0,277,GASTRO
Monday,1,3,0,0,0,CARD
Monday,1,4,101,0,101,CARD
Monday,1,5,202,0,202,CARD
Monday,1,6,303,0,303,CARD
Monday,2,7,0,0,0,ORTH
Monday,2,8,146,0,146,ORTH
Monday,2,9,292,0,292,ORTH
Monday,3,10,0,0,0,GYN
Monday,3,11,82,0,82,GYN
Monday,3,12,165,0,165,GYN
Monday,3,13,247,0,247,GYN
Monday,3,14,329,0,329,GYN
Monday,4,15,0,0,0,URO
Monday,4,16,72,0,72,URO
Monday,4,17,144,0,144,URO
Monday,4,18,216,0,216,URO
Monday,4,19,288,0,288,URO
Monday,4,20,360,0,360,URO
Monday,5,21,0,0,0,CARD
Monday,5,22,101,0,101,CARD
Monday,5,23,202,0,202,CARD
Monday,5,24,303,0,303,CARD
Monday,6,25,0,0,0,URO
Monday,6,26,72,0,72,URO
Monday,6,27,144,0,144,URO
Monday,6,28,216,0,216,URO
Monday,6,29,288,0,288,URO
Monday,6,30,360,0,360,URO
Tuesday,7,31,0,0,0,GASTRO
Tuesday,7,32,138,0,138,GASTRO
Tuesday,7,33,277,0,277,GASTRO
Tuesday,8,34,0,0,0,ORTH
Tuesday,8,35,146,0,146,ORTH
Tuesday,8,36,292,0,292,ORTH
Tuesday,9,37,0,0,0,ORTH
Tuesday,9,38,146,0,146,ORTH
Tuesday,9,39,292,0,292,ORTH
Tuesday,10,40,0,0,0,GYN
Tuesday,10,41,82,0,82,GYN
Tuesday,10,42,165,0,165,GYN
Tuesday,10,43,247,0,247,GYN
Tuesday,10,44,329,0,329,GYN
Tuesday,11,45,0,0,0,GYN
Tuesday,11,46,82,0,82,GYN
Tuesday,11,47,165,0,165,GYN
Tuesday,11,48,247,0,247,GYN
Tuesday,11,49,329,0,329,GYN
Tuesday,12,50,0,0,0,URO
Tuesday,12,51,72,0,72,URO
Tuesday,12,52,144,0,144,URO
Tuesday,12,53,216,0,216,URO
Tuesday,12,54,288,0,288,URO
Tuesday,12,55,360,0,360,URO
Wednesday,13,56,0,0,0,GASTRO
Wednesday,13,57,138,0,138,GASTRO
Wednesday,13,58,277,0,277,GASTRO
Wednesday,14,59,0,0,0,GASTRO
Wednesday,14,60,138,0,138,GASTRO
Wednesday,14,61,277,0,277,GASTRO
Wednesday,15,62,0,0,0,CARD
Wednesday,15,63,101,0,101,CARD
Wednesday,15,64,202,0,202,CARD
Wednesday,15,65,303,0,303,CARD
Wednesday,16,66,0,0,0,MED
Wednesday,16,67,80,0,80,MED
Wednesday,16,68,161,0,161,MED
Wednesday,16,69,241,0,241,MED
Wednesday,16,70,322,0,322,MED
Wednesday,17,71,0,0,0,GYN
Wednesday,17,72,82,0,82,GYN
Wednesday,17,73,165,0,165,GYN
Wednesday,17,74,247,0,247,GYN
Wednesday,17,75,329,0,329,GYN
Wednesday,18,76,0,0,0,GYN
Wednesday,18,77,82,0,82,GYN
Wednesday,18,78,165,0,165,GYN
Wednesday,18,79,247,0,247,GYN
Wednesday,18,80,329,0,329,GYN
Wednesday,19,81,0,0,0,URO
Wednesday,19,82,72,0,72,URO
Wednesday,19,83,144,0,144,URO
Wednesday,19,84,216,0,216,URO
Wednesday,19,85,288,0,288,URO
Wednesday,19,86,360,0,360,URO
Wednesday,20,87,0,0,0,ORTH
Wednesday,20,88,146,0,146,ORTH
Wednesday,20,89,292,0,292,ORTH
Thursday,21,90,0,0,0,GASTRO
Thursday,21,91,138,0,138,GASTRO
Thursday,21,92,277,0,277,GASTRO
Thursday,22,93,0,0,0,ORTH
Thursday,22,94,146,0,146,ORTH
Thursday,22,95,292,0,292,ORTH
Thursday,23,96,0,0,0,GYN
Thursday,23,97,82,0,82,GYN
Thursday,23,98,165,0,165,GYN
Thursday,23,99,247,0,247,GYN
Thursday,23,100,329,0,329,GYN
Thursday,24,101,0,0,0,GYN
Thursday,24,102,82,0,82,GYN
Thursday,24,103,165,0,165,GYN
Thursday,24,104,247,0,247,GYN
Thursday,24,105,329,0,329,GYN
Thursday,25,106,0,0,0,URO
Thursday,25,107,72,0,72,URO
Thursday,25,108,144,0,144,URO
Thursday,25,109,216,0,216,URO
Thursday,25,110,288,0,288,URO
Thursday,25,111,360,0,360,URO
Friday,26,112,0,0,0,GASTRO
Friday,26,113,138,0,138,GASTRO
Friday,26,114,277,0,277,GASTRO
Friday,27,115,0,0,0,CARD
Friday,27,116,101,0,101,CARD
Friday,27,117,202,0,202,CARD
Friday,27,118,303,0,303,CARD
Friday,28,119,0,0,0,ORTH
Friday,28,120,146,0,146,ORTH
Friday,28,121,292,0,292,ORTH
Friday,29,122,0,0,0,GYN
Friday,29,123,82,0,82,GYN
Friday,29,124,165,0,165,GYN
Friday,29,125,247,0,247,GYN
Friday,29,126,329,0,329,GYN
Friday,30,127,0,0,0,URO
Friday,30,128,72,0,72,URO
Friday,30,129,144,0,144,URO
Friday,30,130,216,0,216,URO
Friday,30,131,288,0,288,URO
Friday,30,132,360,0,360,URO
Friday,31,133,0,0,0,CARD
Friday,31,134,101,0,101,CARD
Friday,31,135,202,0,202,CARD
Friday,31,136,303,0,303,CARD
