Day,Block,Surgery,Start,Duration,Finish,Specialty
Monday,3,0,1.0,0,1.0,GYN
Monday,3,1,62.0,0,62.0,GYN
Monday,3,2,101.0,0,101.0,GYN
Monday,3,3,296.0,0,296.0,GYN
Monday,3,4,305.0,0,305.0,GYN
Monday,3,5,391.0,0,391.0,GYN
Monday,0,6,267.0,0,267.0,GASTRO
Monday,0,7,289.0,0,289.0,GASTRO
Monday,0,8,302.0,0,302.0,GASTRO
Monday,0,9,396.0,0,396.0,GASTRO
Monday,2,10,127.0,0,127.0,ORTH
Monday,2,11,177.0,0,177.0,ORTH
Monday,2,12,254.0,0,254.0,ORTH
Monday,2,13,289.0,0,289.0,ORTH
Monday,2,14,363.0,0,363.0,ORTH
Monday,2,15,398.0,0,398.0,ORTH
Monday,1,16,7.0,0,7.0,CARD
Monday,1,17,72.0,0,72.0,CARD
Monday,1,18,145.0,0,145.0,CARD
Monday,1,19,181.0,0,181.0,CARD
Monday,1,20,313.0,0,313.0,CARD
Monday,1,21,408.0,0,408.0,CARD
Monday,5,22,44.0,0,44.0,CARD
Monday,5,23,70.0,0,70.0,CARD
Monday,5,24,142.0,0,142.0,CARD
Monday,5,25,246.0,0,246.0,CARD
Monday,5,26,287.0,0,287.0,CARD
Monday,4,27,322.0,0,322.0,URO
Monday,4,28,420.0,0,420.0,URO
Monday,6,29,43.0,0,43.0,URO
Monday,6,30,83.0,0,83.0,URO
Monday,6,31,399.0,0,399.0,URO
Monday,6,32,404.0,0,404.0,URO
Tuesday,10,33,4.0,0,4.0,GYN
Tuesday,10,34,103.0,0,103.0,GYN
Tuesday,10,35,169.0,0,169.0,GYN
Tuesday,10,36,436.0,0,436.0,GYN
Tuesday,10,37,456.0,0,456.0,GYN
Tuesday,10,38,458.0,0,458.0,GYN
Tuesday,11,39,8.0,0,8.0,GYN
Tuesday,11,40,42.0,0,42.0,GYN
Tuesday,11,41,68.0,0,68.0,GYN
Tuesday,11,42,276.0,0,276.0,GYN
Tuesday,11,43,469.0,0,469.0,GYN
Tuesday,7,44,44.0,0,44.0,GASTRO
Tuesday,7,45,352.0,0,352.0,GASTRO
Tuesday,7,46,444.0,0,444.0,GASTRO
Tuesday,8,47,33.0,0,33.0,ORTH
Tuesday,8,48,377.0,0,377.0,ORTH
Tuesday,9,49,49.0,0,49.0,ORTH
Tuesday,9,50,118.0,0,118.0,ORTH
Tuesday,9,51,217.0,0,217.0,ORTH
Tuesday,9,52,331.0,0,331.0,ORTH
Tuesday,9,53,389.0,0,389.0,ORTH
Tuesday,12,54,6.0,0,6.0,URO
Tuesday,12,55,113.0,0,113.0,URO
Tuesday,12,56,439.0,0,439.0,URO
Wednesday,16,57,173.0,0,173.0,MED
Wednesday,16,58,237.0,0,237.0,MED
Wednesday,16,59,257.0,0,257.0,MED
Wednesday,17,60,43.0,0,43.0,GYN
Wednesday,17,61,254.0,0,254.0,GYN
Wednesday,17,62,256.0,0,256.0,GYN
Wednesday,17,63,275.0,0,275.0,GYN
Wednesday,17,64,293.0,0,293.0,GYN
Wednesday,17,65,471.0,0,471.0,GYN
Wednesday,18,66,35.0,0,35.0,GYN
Wednesday,18,67,101.0,0,101.0,GYN
Wednesday,18,68,215.0,0,215.0,GYN
Wednesday,13,69,56.0,0,56.0,GASTRO
Wednesday,13,70,177.0,0,177.0,GASTRO
Wednesday,13,71,442.0,0,442.0,GASTRO
Wednesday,14,72,451.0,0,451.0,GASTRO
Wednesday,20,73,190.0,0,190.0,ORTH
Wednesday,20,74,205.0,0,205.0,ORTH
Wednesday,20,75,261.0,0,261.0,ORTH
Wednesday,20,76,440.0,0,440.0,ORTH
